Target Schema,Target Table,Column Name,Ordinal
LAADM,ASSET_HISTRY_TEMP_TABLE,,1
LAADM,ASSET_PROC_TEMPORARY_TABLE,,1
LAADM,BLM_CLASS_DETAIL_TBL,,1
LAADM,BLM_CLEARANCE_DETAILS_TBL,,1
LAADM,BLM_CONTRACTOR_DETAILS_TBL,,1
LAADM,BLM_DELIVERY_TBL,,1
LAADM,BLM_DOCUMENT_TBL,,1
LAADM,BLM_FIN_DETAILS_TBL,,1
LAADM,BLM_GENERAL_DETAILS_TBL,,1
LAADM,BLM_LOAN_TBL,,1
LAADM,BLM_PROJ_DOC_TBL,,1
LAADM,BLM_PROJ_FIN_TBL,,1
LAADM,BLM_PROJ_MASTER_TBL,,1
LAADM,BLM_RELATED_TBL,,1
LAADM,BLM_STAGE_DETAILS_TBL,,1
LAADM,BUSINESS_INFO_MOD_TBL,,1
LAADM,BUSINESS_INFO_TBL,,1
LAADM,CHARGE_OFF_MOD_TABLE,,1
LAADM,CL_ARS_TABLE,,1
LAADM,CL_CRS_TABLE,,1
LAADM,CL_CUST_HEADER_TABLE,,1
LAADM,CL_CUST_TRAN_TABLE,,1
LAADM,CL_DDIT_REV_TABLE,,1
LAADM,CL_DRAW_DOWN_DETAIL_TABLE,,1
LAADM,CL_DRAW_DOWN_HEADER_TABLE,,1
LAADM,CL_DRAW_DOWN_NOTICE_TBL,,1
LAADM,CL_DRAW_DOWN_SHDL_MOD_TBL,,1
LAADM,COMM_LEND_FEE_DTLS_TABLE,,1
LAADM,DEBT_TRANSFER_DTL_TBL,,1
LAADM,DRDN_CONDITION_PRECEDENT,,1
LAADM,EMPLOYER_MASTER_MOD_TABLE,,1
LAADM,EMPLOYER_PRODUCT_MOD_TABLE,,1
LAADM,EMPLOYER_PRODUCT_TABLE,,1
LAADM,IDDT_REV_TABLE,,1
LAADM,IDT_REV_TABLE,,1
LAADM,INT_RATE_MODIFICATION_TBL,,1
LAADM,IST_REBATE_PARAMETERS_TBL,,1
LAADM,ITC_REV_TABLE,,1
LAADM,LA_ACCT_MAST_MOD_TABLE,,1
LAADM,LA_ACCT_SUB_DETAILS_TABLE,,1
LAADM,LA_ACCT_SUB_SCHEME_TABLE,,1
LAADM,LA_ACH_LODGE_INFO_TBL,,1
LAADM,LA_ACH_REJECTION_INFO_TBL,,1
LAADM,LA_DMD_ADJ_HISTORY_TABLE,,1
LAADM,LA_DMD_MOD_TABLE,,1
LAADM,LA_FEE_HISTORY_TABLE,,1
LAADM,LA_LCF_TBL,,1
LAADM,LA_LRT_TBL,,1
LAADM,LA_MESG_MOD_TABLE,,1
LAADM,LA_MESG_TABLE,,1
LAADM,LA_MR_ARREAR_DETAIL_TBL,,1
LAADM,LA_MULTIREPAY_ARREARS_TBL,,1
LAADM,LA_MULTIREPAY_INSTR_TBL,,1
LAADM,LA_PENAL_DMD_ADJ_TABLE,,1
LAADM,LA_REBATE_TEMP_TABLE,,1
LAADM,LA_RELATED_PARTY_MOD_TABLE,,1
LAADM,LA_REP_NOTICE_TABLE,,1
LAADM,LA_REP_SHDL_MOD_TABLE,,1
LAADM,LA_REPMT_CYCLE_TABLE,,1
LAADM,LA_REPR_REPORT_TABLE,,1
LAADM,LA_RESHDL_HDR_HIST_TABLE,,1
LAADM,LA_RESHDL_HDR_MOD_TABLE,,1
LAADM,LA_ROLL_OVER_MASTER_TBL,,1
LAADM,LA_SUB_TEMPORARY_TABLE,,1
LAADM,LA_SUBSIDY_DMD_ADJ_TABLE,,1
LAADM,LA_TOPUP_DETAILS_TABLE,,1
LAADM,LA_TOPUP_MASTER_TABLE,,1
LAADM,LA_TOPUP_SCHM_PARM_TABLE,,1
LAADM,LA_TRAN_DETAIL_HIST_TABLE,,1
LAADM,LA_TRAN_REV_DETAIL_TABLE,,1
LAADM,LA_UIC_ACCT_HISTORY_TBL,,1
LAADM,LA_WAIVER_INT_TEMP_TBL,,1
LAADM,LAM_REV_TABLE,,1
LAADM,LDA_REV_TABLE,,1
LAADM,LDT_REV_TABLE,,1
LAADM,LI_ACCT_DETAIL_TABLE,,1
LAADM,LI_ASSET_REP_DTLS_TBL,,1
LAADM,LI_LA_ACCT_MAST_TABLE,,1
LAADM,LI_PROF_ADJ_TRAN_MAST_TBL,,1
LAADM,LI_PROF_DMD_ADJ_DET_TABLE,,1
LAADM,LI_SALAM_DTLS,,1
LAADM,LINKED_ACCTS_MOD_TBL,,1
LAADM,LINKED_ACCTS_TBL,,1
LAADM,LIT_CLAIM_RFND_DTS_TBL,,1
LAADM,LIT_CR_GUAR_DTLS_TABLE,,1
LAADM,LIT_DECREE_DTLS_TABLE,,1
LAADM,LIT_DECREE_EXEC_DTLS_TABLE,,1
LAADM,LIT_GENERAL_DTLS_TABLE,,1
LAADM,LIT_SETLMNT_DTLS_TABLE,,1
LAADM,LOAN_ACCOUNT_BLDR_TBL,,1
LAADM,LOAN_CHRG_OFF_HIST_TBL,,1
LAADM,LOAN_DEFMNT_DTL_MOD_TBL,,1
LAADM,LOAN_STRUCT_REPAY_TABLE,,1
LAADM,LOAN_UPFRONT_INT_ADJ_TBL,,1
LAADM,LOANS_ECS_TBL,,1
LAADM,LOANS_ISLAMIC_AQAD_DTLS,,1
LAADM,LOANS_ISLAMIC_SALAM_DTLS,,1
LAADM,LRH_REV_TABLE,,1
LAADM,LRP_REV_TBL,,1
LAADM,LRS_REV_TABLE,,1
LAADM,LS_ASSET_DISP_DTLS_TBL,,1
LAADM,LS_ASSET_PYMNT_TRAN_TABLE,,1
LAADM,LS_ASSET_SET_COST_COMP_TBL,,1
LAADM,LS_ASSET_SET_DOCUMENT_TBL,,1
LAADM,LS_ASSET_SET_GENERAL_TBL,,1
LAADM,LS_ASST_PYMNT_TMP_TRAN_TBL,,1
LAADM,LS_COST_AMORT_DTLS_TBL,,1
LAADM,LS_COST_AMORT_TRANDTLS_TBL,,1
LAADM,LS_INVITE_FOR_QUOTATION,,1
LAADM,LS_INVITE_QUOT_PARTY_DTLS,,1
LAADM,LS_SELECT_QUOTATION,,1
LAADM,MAINT_ASSET_DEPR_MNTNCE,,1
LAADM,MAINT_ASSET_ID_RV_DTLS,,1
LAADM,MAINT_ASSET_ID_RV_HDR,,1
LAADM,MAINT_ASSET_ID_SER_DET,,1
LAADM,MAINT_ASSET_ID_SER_HDR,,1
LAADM,MAINT_ASSET_ID_USAGE_DTLS,,1
LAADM,MAINT_ASSET_ID_USAGE_HDR,,1
LAADM,MAINT_ASSET_POCOST_COMPS,,1
LAADM,MAINT_ASSET_REPOS_HISTORY,,1
LAADM,MAINT_ASSET_REPOSSESS_DTL,,1
LAADM,MAINT_ASSETID_DOC_MLTREC,,1
LAADM,MAINT_ASSETID_DOCUMENTS,,1
LAADM,MAINT_DEP_CODE_DTLS,,1
LAADM,MAINT_DEP_CODE_HDR,,1
LAADM,MAINT_DEPR_DETAILS,,1
LAADM,MAINT_DOCUMENT_DTLS,,1
LAADM,MAINT_INS_CLAIM,,1
LAADM,MAINT_INS_PREMIUM_DTL,,1
LAADM,MAINT_INSP_MLTREC,,1
LAADM,MAINT_MAIN_INSP_DETAILS,,1
LAADM,MAINT_MAIN_VAL_DETAILS,,1
LAADM,MAINT_VAL_MLTREC,,1
LAADM,MAKE_PAYMENT_DETAILS,,1
LAADM,MASTER_ASSET_POOL_TABLE,,1
LAADM,MOD_ASSET_DEPR_AMT,,1
LAADM,PAYOFF_REVERSAL_TABLE,,1
LAADM,PREPAY_REVERSAL_TBL,,1
LAADM,PREPAYMENT_NOTICE,,1
LAADM,RACO_REVERSAL_TABLE,,1
LAADM,RAM_REV_TABLE,,1
LAADM,ROLL_REV_TBL,,1
LAADM,SAL_LIEN_INFO_TBL,,1
LAADM,SAM_REV_TABLE,,1
LAADM,SEC_CHARGE_ASSESSMENT_TBL,,1
LAADM,SEC_CHARGE_TRAN_LOG_TBL,,1
LAADM,SEC_POOL_ACCOUNT_DTLS_TBL,,1
LAADM,SEC_POOL_CRITERIA_TBL,,1
LAADM,SEC_POOL_TRANSACTION_TBL,,1
LAADM,SEC_TEMPORARY_TABLE,,1
LAADM,SUB_CODE_GENERAL_MAST_TBL,,1
LAADM,SUB_CODE_VERSION_MAST_TBL,,1
LAADM,SY_DRAW_DOWN_DETAIL_TBL,,1
LAADM,SY_DRAW_DOWN_NOTICE_TBL,,1
LAADM,SY_DRDN_CNTR_TRKR_TBL,,1
LAADM,SY_NON_FINANCIAL_LOG_TBL,,1
LAADM,SY_NOTICE_INTSLAB_DTL_TBL,,1
LAADM,SY_NOTICE_PAYMENT_DTL_TBL,,1
LAADM,SYND_AGENT_CONT_DTLS_TABLE,,1
LAADM,SYND_BRWR_GRNTR_DTLS_TABLE,,1
LAADM,SYND_DIST_DETAIL_TBL,,1
LAADM,SYND_FAC_DOC_DTLS_TABLE,,1
LAADM,SYND_PAY_DISTRIB_TABLE,,1
LAADM,SYND_PY_DIST_HIST_TBL,,1
LAADM,TRANCHE_DESG_SCHED_TBL,,1
LAADM,TRANCHE_INTSLAB_TBL,,1
LAADM,TRANCHE_NOTICE_TBL,,1
LAADM,TRANCHE_PARTPNT_TBL,,1
LAADM,TRANCHE_PAYMNT_TBL,,1
LAADM,WAIVER_HISTORY_MOD_TABLE,,1
LAADM,WAIVER_HISTORY_TABLE,,1
TBAADM,ABNRML_TRAN_AUDIT_TABLE,,1
TBAADM,ACCOUNT_DOCUMENT_MOD_TABLE,,1
TBAADM,ACCOUNT_DOCUMENT_TABLE,,1
TBAADM,ACCOUNT_FACILITY_TABLE,,1
TBAADM,ACCOUNT_FILTER_TABLE,,1
TBAADM,ACCOUNT_LBL_CODE_MOD_TABLE,,1
TBAADM,ACCOUNT_LBL_CODE_TABLE,,1
TBAADM,ACCOUNT_LBL_RELTN_MOD_TBL,,1
TBAADM,ACCOUNT_LBL_RELTN_TBL,,1
TBAADM,ACCOUNT_LIEN_HISTORY_TABLE,,1
TBAADM,ACCOUNT_LIEN_MOD_TABLE,,1
TBAADM,ACCOUNT_LIEN_TABLE,,1
TBAADM,ACCT_ACCESS_CODE_TABLE,,1
TBAADM,ACCT_AUTH_SIGN_MOD_TABLE,,1
TBAADM,ACCT_AUTH_SIGN_STMNT_TABLE,,1
TBAADM,ACCT_AUTH_SIGN_TABLE,,1
TBAADM,ACCT_AVG_BAL_DET_TBL,,1
TBAADM,ACCT_ENTRY_TABLE,,1
TBAADM,ACCT_MODIFIED_HIST_TABLE,,1
TBAADM,ACCT_NOMINATION_HDR_TABLE,,1
TBAADM,ACCT_NOMINATION_TABLE,,1
TBAADM,ACCT_OPN_MATRIX_TABLE,,1
TBAADM,ACCT_PARTITION_TABLE,,1
TBAADM,ACCT_PLACEHOLDER_TABLE,,1
TBAADM,ACCT_STATEMENT_MOD_TABLE,,1
TBAADM,ACCT_STATEMENT_TABLE,,1
TBAADM,ACCT_TRANSFER_TABLE,,1
TBAADM,ACCT_TURN_OVER_TABLE,,1
TBAADM,ACCTS_FOR_REGUL_TABLE,,1
TBAADM,ACH_ADVICE_TABLE,,1
TBAADM,ACH_ENT_DTL_HIST_TBL,,1
TBAADM,ACH_ENTRY_DETAIL_TABLE,,1
TBAADM,ACH_FILE_RECALL_RQST_TBL,,1
TBAADM,ACH_HEADER_DETAIL_TABLE,,1
TBAADM,ACH_PAYSYS_REASON_TABLE,,1
TBAADM,ADDNL_TRAN_DETAIL_TABLE,,1
TBAADM,ADHOC_PROV_DETAIL_MOD_TBL,,1
TBAADM,ADHOC_PROV_DETAIL_TBL,,1
TBAADM,ADHOC_PROV_HISTORY_TBL,,1
TBAADM,AGENT_MASTER_TABLE,,1
TBAADM,ALERT_MESSAGE_SERVICE_TBL,,1
TBAADM,AMOUNT_AUTH_MATRIX_TABLE,,1
TBAADM,AMOUNT_TABLE_CODE_TABLE,,1
TBAADM,AMT_DRV_METHOD_MOD_TBL,,1
TBAADM,AMT_DRV_METHOD_TBL,,1
TBAADM,AMT_TABLE_CODE_MISC_TABLE,,1
TBAADM,AMT_TABLE_CODE_MOD_TABLE,,1
TBAADM,APPLICATION_MENU_TABLE,,1
TBAADM,APPR_SECU_MAST_TABLE,,1
TBAADM,ASSESSMENT_PART_TRAN_TABLE,,1
TBAADM,ASSET_CLASSFN_RANK_TABLE,,1
TBAADM,ASSET_HISTRY_DTLS_TABLE,,1
TBAADM,ASSET_PROV_MOD_PARM_TBL,,1
TBAADM,ASSET_PROV_PARM_TBL,,1
TBAADM,ASST_CLASS_DETAIL_MOD_TBL,,1
TBAADM,ASST_CLASS_DETAIL_TBL,,1
TBAADM,ASST_CLASS_HIST_TBL,,1
TBAADM,ASST_CLASS_INT_PROV_TBL,,1
TBAADM,ASYNC_ACCT_TBL,,1
TBAADM,ATM_CONTROLLER_TBL,,1
TBAADM,ATM_MAST_TABLE,,1
TBAADM,AUDIT_ENTITY_DETAILS_TABLE,,1
TBAADM,AUDIT_TABLE,,1
TBAADM,AUTHORIZATION_MATRIX_TABLE,,1
TBAADM,B2K_RT_TABLE,,1
TBAADM,B2KLIC_TBL,,1
TBAADM,BANK_CODE_TABLE,,1
TBAADM,BANK_COND_CHRG_TABLE,,1
TBAADM,BANK_GRP_MNT_TBL,,1
TBAADM,BANK_ID_CODE_TBL,,1
TBAADM,BANK_LIMIT_MNT_TABLE,,1
TBAADM,BANK_SET_LIST,,1
TBAADM,BANKAWAY_DOWNLOAD_TABLE,,1
TBAADM,BAR_ADVICE_TABLE,,1
TBAADM,BAR_STEP_TABLE,,1
TBAADM,BASE_INT_VER_SLAB_TBL,,1
TBAADM,BATCH_ALERT_VAL_TABLE,,1
TBAADM,BATCH_ENV_EXE_SETUP_TABLE,,1
TBAADM,BATCH_FATAL_DATA_TBL,,1
TBAADM,BATCH_IFACE_DTL_TBL,,1
TBAADM,BATCH_IFACE_HDR_TBL,,1
TBAADM,BATCH_JOB_MONITOR_TBL,,1
TBAADM,BATCH_JOB_SCHEDULER_TABLE,,1
TBAADM,BATCH_JOB_TBL,,1
TBAADM,BATCH_REPORT_STATUS_TBL,,1
TBAADM,BCTT_TBL,,1
TBAADM,BE_INT_ADMINISTRATN_TABLE,,1
TBAADM,BE_PYMT_INSTR_TABLE,,1
TBAADM,BE_REOPEN_ACCT_DTL_TBL,,1
TBAADM,BE_TD_TRAN_TABLE,,1
TBAADM,BG_COUNTER_TABLE,,1
TBAADM,BG_EVENT_TABLE,,1
TBAADM,BG_INSTLMNT_MOD_TABLE,,1
TBAADM,BG_INSTLMNT_TABLE,,1
TBAADM,BG_MASTER_MOD_TABLE,,1
TBAADM,BG_MASTER_TABLE,,1
TBAADM,BG_PARAM_CRNCY_TABLE,,1
TBAADM,BG_PARM_TABLE,,1
TBAADM,BG_QUEUE_TABLE,,1
TBAADM,BG_UPLOAD_TABLE,,1
TBAADM,BILL_ACCT_MAST_MOD_TABLE,,1
TBAADM,BILL_ACCT_MAST_TABLE,,1
TBAADM,BILL_BG_LINK_TABLE,,1
TBAADM,BILL_EVENTS_HIST_TABLE,,1
TBAADM,BILL_INSTRUMENT_TABLE,,1
TBAADM,BILL_LODGE_TABLE,,1
TBAADM,BILL_MAX_PTRAN_TABLE,,1
TBAADM,BILL_MESG_TABLE,,1
TBAADM,BILL_OF_ENTRY_TABLE,,1
TBAADM,BILL_REGISTER_TYPE_TABLE,,1
TBAADM,BILLER_REGN_TABLE,,1
TBAADM,BILLER_SRVC_REGN_MAST_TBL,,1
TBAADM,BO_PARAMS_EXCEPTION_TBL,,1
TBAADM,BORPI_TRN_TBL,,1
TBAADM,BPAY_BANK_LVL_PRM_TBL,,1
TBAADM,BRANCH_BIC_TABLE,,1
TBAADM,BRANCH_CODE_TABLE,,1
TBAADM,BRANCH_SDS_TABLE,,1
TBAADM,BRANCH_SERVICE_TABLE,,1
TBAADM,BUSINESS_TRAN_AUDIT_TABLE,,1
TBAADM,BUSINESS_TRAN_TABLE,,1
TBAADM,BUY_LIM_MAINT_HIST_TABLE,,1
TBAADM,BUY_LIM_MAINT_MOD_TABLE,,1
TBAADM,BUY_LIM_MAINT_TABLE,,1
TBAADM,BUYERS_CREDIT_BANKDTLS_TBL,,1
TBAADM,BUYERS_CREDIT_CRNCY_TABLE,,1
TBAADM,BUYERS_CREDIT_HISTORY_TBL,,1
TBAADM,BUYERS_CREDIT_MASTER_TBL,,1
TBAADM,BUYERS_CREDIT_PARAM_TABLE,,1
TBAADM,CARD_ACCT_RELATION_TABLE,,1
TBAADM,CARD_STATUS_TABLE,,1
TBAADM,CARD_TYPE_TABLE,,1
TBAADM,CARRIER_CODE_TABLE,,1
TBAADM,CASHFLOW_TEMP_TBL,,1
TBAADM,CBRT_TABLE,,1
TBAADM,CCOD_ACCT_MAST_MOD_TABLE,,1
TBAADM,CCOD_ACCT_MAST_TABLE,,1
TBAADM,CDC_TC_DENOM_TABLE,,1
TBAADM,CHANNEL_LEVEL_CODE_TABLE,,1
TBAADM,CHANNEL_TRAN_GRID_TABLE,,1
TBAADM,CHARGE_ASSESS_MOD_TABLE,,1
TBAADM,CHARGE_ASSESSMENT_TABLE,,1
TBAADM,CHARGE_LEVEL_CODE_TABLE,,1
TBAADM,CHARGE_OFF_TABLE,,1
TBAADM,CHARGES_HISTORY_TBL,,1
TBAADM,CHG_VAL_DATE_MOD_TABLE,,1
TBAADM,CHQ_BOOK_MOD_TABLE,,1
TBAADM,CHQ_BOOK_TABLE,,1
TBAADM,CHQ_REFUSED_TABLE,,1
TBAADM,CHRG_AMORT_DETAILS_TBL,,1
TBAADM,CHRG_REV_PROCESSING_TBL,,1
TBAADM,CHRG_TRAN_LOG_TBL,,1
TBAADM,CHRG_TRAN_REV_TEMP_TBL,,1
TBAADM,CITY_TABLE,,1
TBAADM,CL_DRAW_DOWN_INFO_TABLE,,1
TBAADM,CL_DRAW_DOWN_SCHEDULE_TBL,,1
TBAADM,CLEARING_REJ_CODE_TABLE,,1
TBAADM,CLG_ENCD_STS_TABLE,,1
TBAADM,CLG_RULE_MAINT_TBL,,1
TBAADM,CLG_SOL,,1
TBAADM,CLG_TRAN_CODE_TABLE,,1
TBAADM,CLG_UPLD_HEADER_TABLE,,1
TBAADM,CLIENT_COND_CHRG_TABLE,,1
TBAADM,CMB_CSIS_GEN_ACCT_TABLE,,1
TBAADM,CMS_CARD_ACCT_LINK_TABLE,,1
TBAADM,CMS_CARD_DETAILS_TABLE,,1
TBAADM,CMS_CARD_SUB_TYPE_TABLE,,1
TBAADM,CMS_DOWNLOAD_DRIVER_TABLE,,1
TBAADM,CMS_HOT_CARD_TABLE,,1
TBAADM,CMS_PREPRINTED_CARD_TABLE,,1
TBAADM,CNTRY_CURR_CRNCY_MOD_TABLE,,1
TBAADM,CNTRY_CURR_CRNCY_TABLE,,1
TBAADM,COLL_PARM_CRNCY_MAINT_TBL,,1
TBAADM,COLL_PARM_MAINT_TBL,,1
TBAADM,COLLECTION_GEN_MAINT_TBL,,1
TBAADM,COLLECTION_HIST_DET_TBL,,1
TBAADM,COLTRL_CONS_DUR_DT_TABLE,,1
TBAADM,COLTRL_DET_SUMMARY_TABLE,,1
TBAADM,COLTRL_GURNT_DTL_TABLE,,1
TBAADM,COLTRL_IPROP_DT_TABLE,,1
TBAADM,COLTRL_LIFEIN_DT_TABLE,,1
TBAADM,COLTRL_MCH_DT_TABLE,,1
TBAADM,COLTRL_PARAM_MOD_TBL,,1
TBAADM,COLTRL_PARAM_TBL,,1
TBAADM,COLTRL_SALE_NOTE_TABLE,,1
TBAADM,COLTRL_TD_SEC_DT_TABLE,,1
TBAADM,COLTRL_VEH_DET_TABLE,,1
TBAADM,COMBINED_CASHCHQ_DTL_TABLE,,1
TBAADM,COMBINED_CASHCHQ_HDR_TABLE,,1
TBAADM,COMM_LEND_TRAN_TABLE,,1
TBAADM,COMMODITY_CODE_TABLE,,1
TBAADM,CONSOLIDATE_BAL_HIST_TABLE,,1
TBAADM,CONT_TRAN_REVAL_HIST_TBL,,1
TBAADM,CONT_TRAN_REVAL_TBL,,1
TBAADM,CONTRA_FOR_DIRECT_POST_TBL,,1
TBAADM,CORE_CMG_MOD_TABLE,,1
TBAADM,CORE_CMG_TABLE,,1
TBAADM,CORE_FPC_TABLE,,1
TBAADM,CORR_MSG_PREF_TABLE,,1
TBAADM,COUNTRY_MOD_TABLE,,1
TBAADM,COUNTRY_TABLE,,1
TBAADM,CRNCY_CORR_BANK_TABLE,,1
TBAADM,CRNCY_DENOM_MAINT_TBL,,1
TBAADM,CRNCY_SCHM_PARM_TBL,,1
TBAADM,CRNCY_TO_CRNCY_MOD_TABLE,,1
TBAADM,CRNCY_TO_CRNCY_TABLE,,1
TBAADM,CURRENT_BAL_REPORT_TABLE,,1
TBAADM,CUST_BATCHJOB_REGISTER_TBL,,1
TBAADM,CUST_OPTION_MAINT_TABLE,,1
TBAADM,CUST_PROV_HISTORY_TABLE,,1
TBAADM,CUST_PROV_TABLE,,1
TBAADM,CUST_XCHG_RT_DISC_MOD_TBL,,1
TBAADM,CUST_XCHG_RT_DISC_TBL,,1
TBAADM,CUST_ZAKAT_HIST_TABLE,,1
TBAADM,CUSTOM_SRGPM_TBL,,1
TBAADM,CUSTOMER_FACILITY_TABLE,,1
TBAADM,CUSTOMER_LEVEL_TAX_DETAILS,,1
TBAADM,CUTOFTIME_VALDT_TABLE,,1
TBAADM,DAILY_TRAN_DETAIL_TABLE,,1
